Name,Description,Link,Unit Price,Quantity,Total,Running Total
Motors,Rctimer GBM5010-150T 90KV Gimbal Brushless Motor 5010,https://ar.aliexpress.com/item/1005002552552208.html?spm=a2g0o.productlist.main.2.1a6a5c05o6EGkF&algo_pvid=e8ed187c-f5bc-4ebd-b06a-8f780a080699&algo_exp_id=e8ed187c-f5bc-4ebd-b06a-8f780a080699-1&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2124.99%2117.49%21%21%2124.99%2117.49%21%40210123bc17687442852712793e2e93%2112000021109228487%21sea%21EG%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af5c7d390%3Bm03_new_user%3A-29895&curPageLogUid=78YJsnV9XrQS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002552552208%7C_p_origin_prod%3A,24.99,3,74.97,74.97
Battery,4S LiPo battery 7.4v  12000mAh 25C,https://ar.aliexpress.com/item/1005001565460048.html?spm=a2g0o.productlist.main.1.70dcMkzHMkzHvl&algo_pvid=fcb44e2c-c011-4465-9f8f-72cd2cbcc893&algo_exp_id=fcb44e2c-c011-4465-9f8f-72cd2cbcc893-0&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2160.73%2140.69%21%21%2160.73%2140.69%21%40212a6e2917687464814174831e3b90%2112000023738205630%21sea%21EG%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af5c7d390%3Bm03_new_user%3A-29895&curPageLogUid=I0zJC1hyaeP7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001565460048%7C_p_origin_prod%3A,87.39,1,87.39,162.36
Slip Ring,5X22mm 6CH 2A,https://ar.aliexpress.com/item/1005008132607911.html?spm=a2g0o.productlist.main.1.6c3b8mu58mu5wo&algo_pvid=8682c8f3-2f9b-4510-aff0-606885e83779&algo_exp_id=8682c8f3-2f9b-4510-aff0-606885e83779-0&pdp_ext_f=%7B%22order%22%3A%22182%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2121.81%214.20%21%21%21151.04%2129.06%21%402101364d17687468970312162e7837%2112000044142660694%21sea%21EG%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af5c7d390%3Bm03_new_user%3A-29895%3BpisId%3A5000000197840385&curPageLogUid=WKGMTuvrKkpL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008132607911%7C_p_origin_prod%3A,21.86,1,21.86,184.22
Pin Headers,1.27mm1*10P Straight Pin header,https://jlcpcb.com/partdetail/29704-1_27mm1_10P_Straight_Pinheader/C28952,0.05,2,0.1,184.32
LED,Small Led for indication,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286,0.01,1,0.01,184.33
Resistor   1KΩ,1k ohm resistor,https://jlcpcb.com/partdetail/PANASONIC-EXBV4V102JV/C713466,0.04,3,0.12,184.45
Resistor   45.3KΩ,45.3KΩ ohm resistor,https://jlcpcb.com/partdetail/RALEC-RTT014532FTH/C166189,0.01,1,0.01,184.46
Resistor 100KΩ,100k ohms resistor,https://jlcpcb.com/partdetail/YAGEO-RC0603FR07100KL/C14675,0.01,1,0.01,184.47
Resistor 10KΩ,10k ohms resistor,https://jlcpcb.com/partdetail/16079-0603WAJ0103T5E/C15401,0.01,2,0.02,184.49
Resistor 2.2KΩ, 2.2K ohms resistor,https://jlcpcb.com/partdetail/4597-0603WAF2201T5E/C4190,0.01,2,0.02,184.51
Capacitor 100μF,100 micro farads capacitor,https://jlcpcb.com/partdetail/3153-KM107M063F12RR0VH2FP0/C2772,0.05,3,0.15,184.66
Capacitor 10μF,10 micro farads capacitor,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,0.01,3,0.03,184.69
Capacitor 0.1μF,0.1 micro farads capacitor,https://jlcpcb.com/partdetail/YAGEO-CC0603KRX7R9BB104/C14663,0.01,3,0.03,184.72
Toggle Button,Button,https://jlcpcb.com/partdetail/hanxia-HX_TS4540CJ_160gf022/C7463293,0.02,1,0.02,184.74
Motor Drivers,DRV8313PWP,https://jlcpcb.com/partdetail/TexasInstruments-DRV8313PWPR/C92482,1.72,3,5.16,189.9
STM32 Microcontroller,128Kb memory flash MCU,https://jlcpcb.com/partdetail/STMicroelectronics-STM32G431CBT6/C529355,3.13,1,3.13,193.03
Inductor 10μH,10μH inductor,https://jlcpcb.com/partdetail/Sunlord-SDFL1608S100KTF/C1035,0.01,1,0.01,193.04
Power converter,TPS54302,https://jlcpcb.com/partdetail/TexasInstruments-TPS54302DDCR/C311983,0.15,1,0.15,193.19
Inertial Units,ICM-20602,https://jlcpcb.com/partdetail/TDKInvenSense-ICM20602/C97633,5.08,2,10.16,203.35
