"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R5";"R_0201_0603Metric";1;"45.3KΩ";;;
2;"D2";"LED_0201_0603Metric";1;"LED";;;
3;",";"";2;"";;;
4;"14.8V,PB9_SDA,VOUT,GND,TX";"PinHeader_1x01_P1.00mm_Horizontal";5;"TX";;;
5;"R6,R8,R9";"R_0201_0603Metric";3;"1KΩ";;;
6;"ToggleBtn1";"SW_Push_1P1T_NO_CK_PTS125Sx85PSMTR";1;"SW_Push";;;
7;"U6,U3,U5";"SOP65P640X120-29N";3;"DRV8313PWP";;;
8;"SWDIO";"PinHeader_1x01_P1.00mm_Horizontal";1;"SWDIO";;;
9;"R1";"R_0201_0603Metric";1;"100KΩ";;;
10;"R7,R4";"R_0201_0603Metric";2;"10KΩ";;;
11;"C3,C8,C11";"CP_Elec_4x3";3;"100μF";;;
12;"C16,C18,C17";"C_0603_1608Metric";3;"10μF";;;
13;"OUT23,OUT03,OUT13";"PinHeader_1x01_P1.00mm_Horizontal";3;"OUT3";;;
14;"OUT22,OUT12,OUT02";"PinHeader_1x01_P1.00mm_Horizontal";3;"OUT2";;;
15;"GND,RX,PB8_SCL";"PinHeader_1x01_P1.00mm_Horizontal";3;"RX";;;
16;"OUT11,OUT21,OUT01";"PinHeader_1x01_P1.00mm_Horizontal";3;"OUT1";;;
17;"C5,C9,C6";"C_0603_1608Metric";3;"0.1μF";;;
18;"JoyStick";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
19;"SWCLK";"PinHeader_1x01_P1.00mm_Horizontal";1;"SWCLK";;;
20;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32G431CBTx";;;
21;"L1";"L_0201_0603Metric";1;"10μH";;;
22;"U7";"SOT-23-6";1;"TPS54302";;;
23;"U4,U2";"LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y";2;"ICM-20602";;;
24;"R3,R2";"R_0201_0603Metric";2;"2.2KΩ";;;
